UserID,Age(bin),YearsExp(bin),Trans_Domain,Trans_Gender,Trans_University,Trans_UOC_Position,Trans_PhD,Trans_Other_Position,Trans_Use_wiki,Easy for stu to develop new skills,Improves stu's learning,Useful for teaching 2,user friendly,easy to find info,easy to add or edit info,stimulates curiosity,entertaining,reliable,Info updated,comprehensice,lower quality 2,trust in editing system,improves visibility of stu's work,easy to have records,cite wiki,well considered among colleagues,sharing open edu resource is appreciated,colleagues use wiki,important to share in open platform,important to publish other than book,important to be familiar with open platform,use wiki to develop teaching material,use wiki develop edu activities with stu,recommend stu to use wiki,recommend colleague,agree stu use wiki,contribute to blogs,actively participate in social networks 2,publish academic content in open platform 2,promotes use of open collavorative environment,consider as teaching merits,future recommend to stu and colleague,future will use in teaching,Inc1-best parctices guide,Inc2-instruction form a colleague,Inc3-specific training 2,Inc4-greater institutional recognition 2,Exp1-consult academic in own area,Exp2-consult other academic issues 2,Exp3-consult personal issues,Exp4-contribute to wiki 2,Exp5-use wiki to work with stu 2
U11,30~40,10~20,Engineering & Architecture,Male,UOC,Associate,PhD,Unknown,Yes,Mid,Mid,High,High,High,High,High,High,Mid,High,Mid,Mid,Low,Mid,High,Low,Low,High,Mid,High,High,High,Low,Mid,High,Mid,High,Low,Low,High,High,Mid,Mid,High,Mid,Mid,Low,High,High,High,High,Low,Low
U12,40~50,20~30,Unknown,Male,UOC,Assistant,Non-PhD,Unknown,No,High,High,Mid,High,High,Mid,High,High,Mid,High,High,Low,Mid,High,Mid,Low,Low,Low,Mid,Low,Low,Mid,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Mid,High,High,High,High,High,High,Low,Low
U13,30~40,10~20,Unknown,Male,UOC,Associate,PhD,Unknown,No,High,High,High,High,High,Mid,High,High,High,High,Low,Low,High,Mid,High,High,Mid,High,Mid,High,Low,High,High,High,High,High,High,Mid,High,High,High,Low,High,High,High,High,High,High,High,High,High,Low,Mid
U14,50~60,10~20,Unknown,Male,UOC,Assistant,PhD,Unknown,Yes,Low,Low,Low,Low,Low,Mid,Low,Low,Low,Low,N/A,High,Low,Low,Mid,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Mid,Low,Low,Low,Low,Low
U15,40~50,10~20,Engineering & Architecture,Male,UOC,Associate,PhD,Unknown,Yes,High,High,High,Mid,High,High,High,High,High,High,High,Low,High,High,Mid,High,Mid,Mid,Mid,High,High,High,Mid,Low,High,High,High,High,High,High,High,Mid,High,High,High,High,High,High,High,High,High,High,High
U16,30~40,10~20,Unknown,Male,UOC,Associate,PhD,Unknown,No,Mid,Mid,Mid,High,High,N/A,Mid,High,Mid,High,Low,High,Mid,Low,Mid,Low,High,High,High,High,High,High,Low,Low,Low,Low,Mid,Low,Mid,Mid,High,Mid,Low,Low,High,High,Low,Low,Low,Low,Low,Low,Low
U17,30~40,10~20,Engineering & Architecture,Male,UOC,Associate,PhD,Unknown,Yes,High,High,High,High,High,High,High,High,High,High,High,Low,High,High,High,Low,Mid,High,High,High,High,High,Low,Low,High,High,High,High,High,High,High,Mid,High,High,High,Mid,Mid,High,High,High,High,Low,High
U18,50~60,10~20,Unknown,Male,UOC,Associate,PhD,Unknown,No,High,High,High,High,High,High,High,High,High,High,High,Mid,Mid,Mid,Mid,Low,Mid,Mid,Low,High,High,High,Low,Low,Low,Low,High,High,High,Mid,High,Mid,Mid,Mid,High,High,High,High,High,High,High,Low,High
U19,30~40,10~20,Engineering & Architecture,Male,UOC,Lecturer,Non-PhD,Unknown,Yes,High,High,High,High,High,High,High,High,High,High,High,Low,High,High,High,Mid,Mid,High,Mid,High,High,High,Mid,Low,High,High,High,High,High,High,Mid,Low,High,High,High,High,High,High,High,High,High,Mid,Mid
U20,30~40,0~10,Unknown,Male,UOC,Associate,PhD,Unknown,No,Low,Low,High,High,High,Mid,High,High,High,High,High,High,High,Mid,Mid,Low,Low,Low,Low,High,High,Mid,Low,Low,Low,Low,High,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Low,High,Low,Mid,Low,High,High,Low,Low
U21,30~40,0~10,Unknown,Male,UOC,Assistant,PhD,Unknown,No,High,Low,High,High,High,N/A,High,High,High,High,High,High,High,Low,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Mid,High,High,High,High,High,High,High,High,Low,High,High,High,Low,High
U22,40~50,10~20,Unknown,Male,UOC,Associate,PhD,Unknown,No,Low,Low,Mid,High,High,Mid,Mid,High,High,High,Mid,Low,Low,Low,Low,Low,Low,Mid,Low,Mid,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,High,Mid,Low,Low,Mid,High,Mid,Low,Mid,Mid,Low,Low,Low
U23,30~40,0~10,Arts & Humanities,Male,UOC,Lecturer,Non-PhD,Unknown,No,Mid,Low,Mid,High,High,Mid,High,High,High,Mid,Low,High,High,High,Mid,Low,Low,Low,Mid,High,High,High,Low,Low,Low,Low,High,Low,Low,Low,High,High,Mid,Mid,High,High,High,Mid,Mid,High,High,Low,Mid
U24,30~40,10~20,Health Sciences,Male,UOC,Associate,PhD,Unknown,Yes,High,High,High,High,High,High,High,High,High,High,Mid,Mid,Mid,High,Mid,Mid,Low,Mid,Mid,High,Mid,High,High,High,High,Mid,High,Low,Mid,High,High,High,High,High,High,High,High,High,Low,High,High,High,Low
U25,30~40,10~20,Law & Politics,Male,UOC,Associate,PhD,Unknown,Yes,Mid,Low,Mid,High,High,High,High,High,Mid,High,Mid,High,Mid,Low,Low,Low,Low,Low,Low,High,Low,High,Low,Low,Low,Mid,Mid,Mid,Low,Low,High,High,Mid,Mid,High,High,Mid,Low,Mid,High,High,Low,Low
U26,30~40,0~10,Unknown,Male,UOC,Lecturer,Non-PhD,Unknown,No,High,High,High,High,High,Mid,High,High,Mid,Mid,Mid,Mid,High,High,High,Mid,High,High,High,High,High,High,Mid,High,Mid,Mid,High,Mid,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,High
U27,30~40,0~10,Law & Politics,Male,UOC,Associate,PhD,Unknown,No,Low,Mid,Low,High,High,N/A,High,High,High,High,Mid,High,Mid,N/A,N/A,Low,Low,Mid,Low,Mid,High,High,Low,Low,Low,Low,Low,Low,Mid,Mid,High,Mid,Mid,Mid,High,Mid,High,Mid,Low,Mid,High,Low,Low
U28,30~40,0~10,Arts & Humanities,Male,UOC,Assistant,PhD,Unknown,No,Mid,Mid,High,High,High,Mid,High,Mid,Mid,Mid,Mid,Mid,Mid,High,Mid,Low,High,High,Mid,High,High,High,Low,Low,Mid,Low,High,Low,Low,Low,High,Low,Mid,High,High,High,High,High,Mid,Mid,High,Low,Low
U29,30~40,0~10,Unknown,Male,UOC,Assistant,Non-PhD,Unknown,No,High,Mid,High,High,Mid,High,Mid,Mid,Mid,Mid,High,High,Mid,High,High,High,High,High,Mid,High,High,Mid,Mid,High,Mid,High,Mid,High,High,High,High,Mid,Mid,Mid,High,High,Mid,High,Mid,Mid,High,Mid,Mid
U30,30~40,0~10,Engineering & Architecture,Male,UOC,Assistant,PhD,Unknown,No,Low,Mid,Mid,High,High,High,High,High,Low,High,Low,Mid,Mid,Low,Low,Low,Low,Low,Low,Low,Mid,Mid,Low,Low,Low,Low,Low,Mid,Mid,High,Low,Low,Mid,Low,High,High,High,High,High,High,High,Low,High
U31,30~40,10~20,Unknown,Male,UOC,Associate,PhD,Unknown,No,Mid,Mid,Mid,High,High,Mid,Mid,Mid,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Mid,Low,Low,Low,Mid,Low,Mid,Mid,Low,Low,Mid,Mid,Mid,Mid,Low,Low,Mid,Low,Mid
U32,40~50,10~20,Arts & Humanities,Male,UOC,Associate,PhD,Unknown,Yes,High,High,High,High,High,Mid,High,High,High,High,High,Low,High,High,High,High,Low,Low,Mid,High,High,High,High,High,High,High,High,Mid,Low,High,High,Low,High,High,Mid,Mid,High,High,High,High,High,Low,Low
U33,40~50,0~10,Unknown,Male,UOC,Assistant,PhD,Unknown,No,High,High,High,Mid,Mid,Mid,Mid,Mid,High,High,Mid,Mid,High,Mid,High,High,Mid,High,Low,High,High,High,Low,Low,Mid,High,High,High,High,High,High,Low,High,High,High,Mid,Mid,Mid,High,High,High,Low,High
U34,30~40,10~20,Engineering & Architecture,Male,UOC,Associate,PhD,Unknown,Yes,High,High,High,High,High,Mid,High,High,High,High,Mid,Mid,High,High,Mid,High,Mid,High,Mid,High,High,High,Mid,Mid,High,High,High,High,Mid,Mid,High,Mid,High,High,High,High,Mid,Mid,High,High,High,Mid,High
U35,50~60,,Unknown,Male,UOC,Assistant,Non-PhD,Unknown,No,High,High,High,High,High,High,High,High,Mid,High,Mid,Low,Mid,Low,Mid,Mid,Low,Mid,High,High,High,High,Low,Low,High,High,High,Low,Mid,High,High,High,High,High,High,High,Mid,Mid,Mid,Mid,Mid,Low,High
U36,40~50,0~10,Unknown,Male,UOC,Associate,PhD,Unknown,No,Mid,Mid,High,High,High,High,High,High,High,Mid,High,N/A,High,High,High,Low,High,Mid,High,High,High,High,Low,Low,Mid,Mid,High,High,High,Mid,High,High,High,High,High,High,High,High,High,High,High,Low,Low
U37,40~50,0~10,Unknown,Male,UOC,Lecturer,Non-PhD,Unknown,No,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Mid,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Mid,Mid,Low,Low,Mid,Mid,Low,Low,Low,Low,Low,Low,Low
U38,30~40,10~20,Arts & Humanities,Male,UOC,Associate,PhD,Unknown,No,Mid,Low,Mid,High,High,Mid,High,High,Mid,High,Mid,High,Low,Mid,Mid,Low,Mid,Mid,Mid,High,High,Mid,Low,Low,Mid,Mid,Mid,High,Mid,Mid,High,High,Mid,Mid,High,High,High,Low,Low,Mid,High,Low,Mid
U39,40~50,10~20,Unknown,Male,UOC,Associate,PhD,Unknown,No,Mid,High,High,High,Mid,Mid,High,Mid,Mid,High,Mid,High,Mid,Mid,Mid,Low,Low,Mid,Mid,High,High,High,Low,Low,High,High,High,Mid,High,Mid,High,High,High,High,High,High,High,High,High,High,High,Low,Low
U40,30~40,0~10,Unknown,Male,UOC,Instructor,PhD,Unknown,Unknown,Low,Low,Low,High,High,N/A,High,High,Mid,High,High,Mid,Low,Low,N/A,Low,Low,Low,N/A,High,Mid,High,Low,Low,Low,N/A,Low,High,Low,N/A,High,High,Low,Low,High,High,High,N/A,High,High,High,Low,High
U41,30~40,0~10,Arts & Humanities,Male,UOC,Associate,PhD,Unknown,No,Mid,Low,Mid,High,Mid,Mid,High,Mid,Low,Low,Low,High,Low,Mid,Mid,Low,Low,Mid,Mid,Mid,High,Mid,Low,Low,Low,Low,Low,Mid,Low,Mid,Mid,Mid,Low,Low,Mid,Mid,Mid,Mid,Low,Low,High,Low,Low
U42,40~50,10~20,Unknown,Male,UOC,Assistant,PhD,Unknown,No,Mid,Mid,Mid,High,High,Mid,High,High,Mid,High,Low,High,Low,Mid,Mid,Low,Low,High,Low,High,High,High,Low,Mid,Low,Low,High,Low,Mid,Low,High,High,Mid,Low,High,Mid,High,High,Low,Low,High,Low,Mid
U43,30~40,10~20,Law & Politics,Male,UOC,Associate,PhD,Unknown,No,Mid,Mid,Mid,High,N/A,Low,Mid,High,Low,Low,Low,High,Low,Low,Low,Low,Low,High,Low,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,High,High,Low,Low,High,Low,Low,High,Low,Low,Low,Low,Low
U44,30~40,0~10,Arts & Humanities,Male,UOC,Associate,PhD,Unknown,No,Mid,Mid,High,High,High,N/A,High,Mid,High,High,High,Low,High,N/A,N/A,Mid,Low,Low,Mid,High,High,High,High,High,High,High,High,Low,Low,Low,High,Low,High,High,High,Low,Low,High,High,High,Low,Low,N/A
U45,30~40,0~10,Engineering & Architecture,Male,UOC,Associate,PhD,Unknown,No,High,High,High,Mid,High,Mid,High,High,Low,Mid,Mid,Mid,Mid,Low,Mid,Low,Mid,High,Low,High,Low,High,Low,Mid,Mid,Mid,Mid,High,High,High,High,Low,Mid,Mid,High,Mid,Mid,Mid,High,Mid,High,Mid,Mid
U46,30~40,0~10,Unknown,Male,UOC,Associate,PhD,Unknown,No,Mid,Mid,Mid,High,High,Mid,Mid,High,High,High,Mid,Mid,High,Mid,Mid,Low,Mid,Mid,Mid,High,High,High,Low,Low,Low,Low,Mid,Low,Mid,Low,High,Mid,Mid,Mid,High,Mid,Mid,Mid,Low,Low,Mid,Low,Mid
U47,30~40,0~10,Unknown,Male,UOC,Lecturer,Non-PhD,Unknown,No,High,High,High,High,High,Mid,High,Mid,High,High,High,High,N/A,Mid,Mid,Low,Mid,High,Mid,High,High,High,Low,Low,Low,Low,Mid,Low,Low,Mid,High,Mid,Mid,Mid,Low,Low,Low,Low,Low,Low,High,Low,Low
U48,30~40,10~20,Engineering & Architecture,Male,UOC,Associate,PhD,Unknown,No,Mid,High,High,High,High,High,High,High,High,High,Mid,High,High,Mid,Low,Low,High,High,High,High,High,High,High,High,High,High,Mid,Low,Low,Low,High,Mid,High,Mid,High,High,N/A,High,High,High,High,Low,Low
U49,50~60,more than 30,Sciences,Male,UOC,Professor,PhD,Unknown,No,High,High,High,High,High,Mid,High,Mid,High,High,Mid,Mid,High,High,Mid,Mid,Mid,Mid,Mid,High,High,High,High,Mid,High,High,High,High,Low,High,High,Low,High,High,High,Mid,Mid,High,High,High,High,Low,Low
U50,30~40,0~10,Engineering & Architecture,Male,UOC,Associate,PhD,Unknown,No,Mid,Mid,High,High,High,Mid,High,High,Low,Low,Low,Mid,Mid,High,High,Low,Mid,High,Mid,High,High,High,Low,Low,Low,Low,Mid,Low,Low,Low,High,Low,Mid,Mid,High,Low,Low,High,Low,Low,Mid,Low,Low
U51,30~40,0~10,Engineering & Architecture,Male,UOC,Associate,PhD,Unknown,No,Mid,Mid,Mid,High,High,High,Low,High,Low,High,Low,Mid,Low,Low,High,Low,Mid,High,Mid,High,High,High,Low,Low,Mid,Mid,High,Low,Low,Low,High,Low,Low,Low,High,Low,High,Low,Low,Low,Low,Low,High
U52,40~50,10~20,Unknown,Male,UOC,Assistant,PhD,Unknown,No,Mid,Mid,Low,High,High,Low,Mid,High,Low,Mid,Mid,High,Low,High,Mid,Low,Low,High,Mid,High,High,High,Low,Low,Low,Low,Mid,Mid,High,Mid,High,High,Low,Low,High,High,Mid,Low,Low,Low,Low,Low,High
U53,40~50,10~20,Law & Politics,Male,UOC,Lecturer,Non-PhD,Unknown,No,Low,Mid,Mid,High,High,Low,High,High,Mid,Mid,Low,Low,Mid,Low,Low,Low,Low,Low,Low,High,High,High,Low,Low,Low,Low,Mid,Low,Low,Mid,High,Mid,Low,Low,Mid,Mid,Mid,Mid,Low,Mid,Mid,Low,Low
U54,40~50,0~10,Health Sciences,Male,UOC,Lecturer,Non-PhD,Unknown,No,Low,Low,Low,Mid,Low,Mid,High,Low,Low,Low,Low,Mid,Low,Low,Low,Low,Low,Low,Low,Mid,Mid,Mid,Low,Low,Low,Low,Low,Low,Mid,Low,High,High,Low,Low,Mid,Mid,Mid,Mid,Low,Low,Low,Low,Low
U55,30~40,0~10,Engineering & Architecture,Male,UOC,Associate,PhD,Unknown,No,Mid,High,High,High,High,High,High,High,High,High,High,Mid,High,High,High,Low,Mid,High,High,High,High,High,Low,Low,Low,Low,High,Low,Low,High,Mid,Mid,Mid,Mid,High,High,Mid,High,High,High,High,Low,High
U56,30~40,0~10,Engineering & Architecture,Male,UOC,Lecturer,Non-PhD,Unknown,No,High,Mid,Mid,High,High,Mid,High,High,Mid,High,Low,High,High,Mid,High,Low,Mid,High,Low,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,High,Low,High,Low,Low,High,Low,Low
U57,50~60,0~10,Arts & Humanities,Male,UOC,Assistant,PhD,Unknown,Yes,Low,Low,High,High,High,Low,Mid,High,High,High,Low,High,Low,Low,High,Low,Low,High,Mid,High,High,Low,Low,Low,High,Mid,High,Low,Low,Low,High,Mid,Low,High,High,High,Mid,Mid,High,High,High,Low,Mid
U58,30~40,0~10,Unknown,Male,UOC,Assistant,PhD,Unknown,No,High,High,High,High,High,High,High,High,High,High,Mid,Low,High,High,Mid,Low,Mid,High,High,High,High,High,Mid,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,High,High,High,High,High,Low,Low
U59,30~40,10~20,Unknown,Male,UOC,Assistant,PhD,Unknown,No,Low,Mid,Mid,High,High,Mid,Mid,Mid,Low,Mid,Low,High,Mid,Mid,Mid,Low,Low,High,Low,High,High,High,Low,Low,Low,Low,Mid,Low,Low,Mid,High,High,Mid,Mid,Mid,High,Low,Mid,Low,Low,Low,Low,Low
U60,30~40,0~10,Engineering & Architecture,Male,UOC,Assistant,PhD,Unknown,No,Low,Mid,High,Mid,High,Mid,High,High,High,High,Mid,Low,Mid,Low,Mid,Low,Low,High,Low,Mid,High,High,Low,Low,Low,Mid,Low,Low,Low,Low,Mid,Low,Low,Mid,High,High,High,High,High,High,High,Low,Mid
U61,30~40,0~10,Arts & Humanities,Male,UOC,Instructor,Non-PhD,Unknown,No,High,High,High,High,High,High,High,High,Mid,High,Mid,Low,High,Mid,Mid,High,High,High,High,High,High,High,Mid,Mid,High,High,High,High,Low,Mid,High,High,Mid,High,High,Low,Low,High,High,High,Mid,Low,High
U62,50~60,20~30,Unknown,Male,UOC,Associate,PhD,Unknown,Yes,Mid,Mid,Mid,High,High,High,Mid,High,High,High,Mid,Mid,Mid,High,High,Low,Low,Mid,Low,High,High,High,Low,Mid,Mid,Mid,High,High,Mid,High,Low,Low,Mid,Mid,High,High,High,High,Mid,Mid,High,Low,High
U63,60~70,10~20,Arts & Humanities,Male,UOC,Associate,PhD,Unknown,Yes,High,High,High,High,High,High,Mid,Mid,High,High,Mid,Mid,High,Low,Mid,High,Low,Low,Low,High,High,High,High,High,High,High,High,High,High,High,Mid,Low,High,High,Mid,High,Mid,High,High,High,Mid,High,High
U64,40~50,10~20,Arts & Humanities,Male,UOC,Assistant,Non-PhD,Unknown,No,Mid,Low,Mid,High,High,Mid,High,High,Mid,Low,Mid,High,High,High,Mid,Mid,Mid,N/A,Low,High,High,High,Mid,Low,High,High,High,Low,Low,Low,High,Low,High,High,High,High,Mid,Mid,High,High,Low,Low,Low
U65,40~50,10~20,Unknown,Male,UOC,Associate,PhD,Unknown,No,High,Mid,High,High,Mid,High,High,High,Mid,High,Mid,High,Mid,High,High,Low,Low,Low,Low,High,High,High,Mid,Mid,High,Mid,High,High,High,High,Mid,Low,High,High,High,Mid,Mid,High,Mid,High,High,Low,Low
U66,40~50,10~20,Unknown,Male,UOC,Associate,PhD,Unknown,No,High,High,High,High,Mid,Low,High,High,Mid,High,Mid,Low,High,Low,Mid,Mid,Low,High,Mid,High,High,High,Low,Low,High,High,High,Low,Low,Low,High,Mid,High,High,Mid,High,Mid,Mid,High,High,High,Low,Low
U67,40~50,10~20,Unknown,Male,UOC,Associate,PhD,Unknown,No,Mid,High,High,High,High,Mid,High,High,High,High,High,Low,High,Mid,Mid,Low,Mid,High,Mid,High,High,High,Low,Low,Low,Low,Mid,Low,Low,Low,High,Mid,Mid,Mid,High,High,High,Mid,Low,Low,High,Low,Mid
U68,40~50,,Engineering & Architecture,Male,UOC,Assistant,PhD,Unknown,No,High,High,High,Low,Mid,Low,High,Mid,High,High,High,Low,High,Mid,Mid,High,High,High,High,High,High,High,High,High,High,High,High,Mid,High,High,High,Low,High,High,Mid,Mid,Mid,High,High,High,High,Low,High
U69,40~50,20~30,Arts & Humanities,Male,UOC,Associate,PhD,Unknown,Yes,High,High,High,High,High,High,High,High,High,High,High,Low,High,High,Mid,High,Low,Low,High,High,High,High,Mid,High,High,High,High,Mid,Low,High,Low,Low,High,High,High,High,Mid,High,High,High,High,Low,High
U70,40~50,10~20,Arts & Humanities,Male,UOC,Associate,PhD,Unknown,No,High,High,High,High,High,High,High,High,High,High,Mid,Low,Mid,High,Mid,Low,High,Mid,High,High,High,High,Low,High,High,High,High,High,High,Mid,High,High,High,High,High,High,Low,Low,High,High,High,Low,High
U71,40~50,10~20,Unknown,Male,UOC,Associate,PhD,Unknown,No,High,High,High,High,High,High,High,High,High,High,Mid,Low,Mid,Mid,High,Low,Mid,Mid,High,High,High,High,Low,Low,Low,Low,High,Low,Mid,Mid,High,Low,Mid,High,High,High,High,Mid,Mid,High,High,Low,Low
U72,50~60,10~20,Arts & Humanities,Male,UOC,Associate,PhD,Unknown,No,Mid,Low,Low,Low,Low,N/A,Mid,Low,High,High,Low,Mid,High,N/A,N/A,Low,Low,Mid,N/A,High,High,High,Mid,Mid,High,N/A,High,High,Low,Low,High,Low,High,High,High,High,High,High,High,High,High,Low,Low
U73,40~50,10~20,Law & Politics,Male,UOC,Associate,PhD,Unknown,Yes,N/A,N/A,N/A,High,High,Mid,High,High,Mid,Mid,Low,High,Mid,N/A,N/A,Low,Low,High,N/A,High,High,High,Low,Low,Low,Low,Mid,Mid,High,High,N/A,N/A,N/A,N/A,High,High,High,N/A,Low,N/A,High,Low,Low
U74,40~50,10~20,Health Sciences,Male,UOC,Assistant,PhD,Unknown,No,Low,Mid,High,Mid,High,Mid,High,High,Mid,Mid,Mid,Mid,High,Mid,High,Low,Low,High,Mid,High,High,High,Low,Low,Low,Low,Mid,Low,High,Mid,High,High,Low,Low,Low,Low,Low,Low,Mid,High,High,Low,Low
U75,40~50,10~20,Engineering & Architecture,Male,UOC,Associate,PhD,Unknown,No,Low,High,High,High,High,N/A,Mid,N/A,High,High,High,Low,N/A,N/A,N/A,Mid,N/A,N/A,N/A,High,N/A,N/A,Mid,N/A,Mid,N/A,High,Low,Low,Low,N/A,N/A,Low,N/A,Low,Low,Low,Low,High,High,High,Low,High
U76,50~60,0~10,Arts & Humanities,Female,UOC,Associate,PhD,Unknown,No,Low,Low,Low,High,High,Mid,Mid,Mid,Low,High,Low,Mid,Low,Low,Mid,Low,Low,Low,Low,Mid,Mid,Mid,Low,Low,Low,Low,Mid,Mid,Mid,Low,High,High,Mid,Low,High,High,High,High,Low,High,High,Low,Mid
U77,30~40,10~20,Unknown,Female,UOC,Associate,PhD,Unknown,No,Low,High,Mid,High,High,N/A,High,High,Mid,Mid,High,High,Mid,N/A,N/A,Low,Low,N/A,N/A,High,High,High,Low,Low,N/A,N/A,High,Low,Mid,Low,High,Low,N/A,Mid,High,Mid,N/A,High,Mid,Low,Low,Low,Low
U78,40~50,10~20,Unknown,Female,UOC,Assistant,Non-PhD,Unknown,No,Low,Mid,Mid,High,Mid,Mid,Mid,High,Mid,Mid,Mid,High,Low,Mid,Mid,Low,Low,High,Mid,High,High,High,Low,Low,Low,Low,Mid,Low,Low,Mid,High,High,Mid,Mid,High,High,High,High,Mid,Mid,High,Low,Low
U79,40~50,10~20,Engineering & Architecture,Female,UOC,Assistant,PhD,Unknown,No,High,Low,High,High,High,High,Low,High,Low,Low,Low,Low,Low,N/A,Mid,Low,Low,Mid,N/A,High,Low,Mid,Low,Low,Low,Low,Low,Low,Low,Mid,Low,Low,Low,Low,High,High,High,N/A,Mid,High,Mid,Low,Low
U80,40~50,10~20,Unknown,Female,UOC,Assistant,Non-PhD,Unknown,No,Mid,Mid,Mid,High,High,High,High,High,High,High,High,Mid,Mid,Mid,High,Low,Low,Mid,Low,High,High,High,Low,Low,Low,Low,Mid,Low,Low,Low,Mid,Mid,Low,Low,High,Mid,Mid,Low,Low,Low,High,Low,Low
